,description
_S92oZVf8w4,"Era uma vez uma jovem muito bonita que passava pela rua quando um homem rústico e grosseiro cuspiu no chão e disse: ""Porra... te comia esse rabo todo, sua gostosa!"". A bela mulher, imediatamente seduzida pelas palavras, respondeu: ""Claro! Só se for agora!"". Então, apaixonados, os dois tiveram uma linda noite de amor num quarto romântico, se casaram, passaram a lua de mel em Aruba e viveram felizes para sempre.Elenco:Letícia LimaLuis LobiancoMAKING OF: http://youtu.be/jcZhHT14Yk4BAIXE NOSSOS GAMES:Google Play: http://goo.gl/MWkcAiApple Store: http://goo.gl/CpS3ycWindows Phone: http://goo.gl/iE2WLR CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
KUhZQJVmht4,"Não importa o tamanho da sinopse, mas a introdução que ela faz. ELENCOGregorio DuvivierThati LopesMAKING OF: https://youtu.be/DUNuhd_L2g0APPS E GAMES: http://bit.ly/appsportaCAMISAS E PRODUTOS: http://loja.portadosfundos.com.brEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
ru8zohJM65Y,"A de AngélicaB de Babi XavierC de Cissa GuimarãesD de Didi WagnerE de ElianaF de Fernanda LimaG de Glória MariaH de HebeI de Iris StefanelliJ, JackelliniL, Lu GimenezM, MaysaN, NagleO de Olga BongiovanniP, PalmirinhaQ de quem tem nome com qR de Renata CeribelliS, Sonia AbraãoT de TicianeV de VolpatoW de Waldvogel X, o que que é?É Xuxa!E Z é Zeca Camaaaaargo. Elenco:Xuxa MeneghelThati LopesRafael PortugalVera MonteiroMAKING OF: https://youtu.be/sImuQYAmY5QAPPS E GAMES: http://bit.ly/appsportaCAMISAS E PRODUTOS: http://loja.portadosfundos.com.brEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
eLawrQ1KQno,"Há seis mil anos, quando um cabeludão descia um morro carregando pedra, ele era considerado maneiro. Hoje em dia, isso é crime. Mas uma coisa nunca mudou: onde houver um ""Silas Malafaia"", as ""Marilias Gabrielas"" vão atrás.Elenco:Fábio PorchatGregorio DuvivierLuis LobiancoRafael Infante MAKING OF: http://youtu.be/gw6WWCnixToBAIXE NOSSOS GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
4WryP4KxHaU,
t11JYaJcpxg,"Como você imagina Deus? Uns gostam de pensar num velhinho gigante de barba cinza, outros em um cara muito rico e sem nada pra fazer jogando bolinha de gude no fundo infinito. Já o Totoro prefere pensar no Morgan Freeman de terno branco. ""Achismos"" à parte, já dizia Woody Allen: ""Se Deus existe, é bom que ele tenha uma boa desculpa.""Elenco:Clarice FalcãoRafael InfanteMAKING OF: http://youtu.be/Qg6LXqAAM0QBAIXE NOSSOS GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
eL71_oNwlUk,"Quando alguém diz que ""o coração tem razões que a própria razão desconhece"", geralmente o faz com tom pejorativo. Mas, afinal, não seria justamente esta ""deficiência"" a maior virtude do amor?Senhoras e senhores, com vocês, mais um vídeo original, inédito e exclusivo da Porta dos Fundos: ""Término de Namoro"".ELENCOClarice FalcãoLetícia LimaRafael InfanteBAIXE NOSSOS GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3ycCAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKNão perca nenhum dos nossos vídeos: http://goo.gl/wZHJUNosso Facebook: http://goo.gl/iglK3Esse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
h1A9Kc5iNkQ,"Filé com queijo, pizza, coxinha, pastel, empada, ""kibe"", esfiha, dois hambúrgueres, alface, queijo, molho especial, cebola, picles, pão com gergelim, açaí, guardiã, zum de besouro, um ímã... hoje em dia, cardápios de lanchonetes são tão abrangente, que o consumidor esquece o bom e velho ""de sempre"".Elenco:Letícia LimaRafael InfanteEXTRAS DE GRAVAÇÃO: http://youtu.be/yC2JujFZoS0BAIXE NOSSOS GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
gFT6WO44kZs,"Segundo especialistas, uma em cada três frases ditas pelo homem é mentira. Mentira. Já o vídeo de hoje é sobre relacionamentos, mentiras e os sintomas da gonorreia. Mentira. Eu nunca tive gonorreia. Mentira.Elenco:Clarice FalcãoGregorio DuvivierBAIXE NOSSOS GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal do PORTA DOS FUNDOS. Lançamos vídeos toda segunda, quinta e sábado às 11h."
Un4r52t-cuk,"O que acontece quando uma cliente muito espoleta se encontra com um cozinheiro muito esporrento?ELENCOClarice FalcãoFábio PorchatCamila VazDIREÇÃOIan SBFROTEIROFábio PorchatAPPS E GAMES: http://bit.ly/appsportaCAMISAS E PRODUTOS: http://loja.portadosfundos.com.brEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
mXANY0T1UTk,
QDwQEWWYOz8,"Quem é que não gosta de ver um filme pornô? Provavelmente quem fez... Deve ser constrangedor e até um pouco humilhante. É a intimidade do casal exposta pro mundo inteiro ver.Ator: Gregorio DuvivierAtriz: Monica BarrosoDiretor: Luis LobiancoRubens: Bruno NevesDireção e montagem: Ian SBFRoteiro: Gregorio DuvivierSom direto: Gustavo ChagasDireção de produção: Nataly MegaProdução: Bianca Caetano e Ohana BoyAPPS E GAMES: http://bit.ly/appsportaCAMISAS E PRODUTOS: http://loja.portadosfundos.com.brEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
8NlLQp2xmZ8,
0b_l0bE_E9s,
RXJb5n3h8rg,"Na escolinha, as criancinhas tem uma ""tia"" pra ensinar que não se deve roubar lanche dos coleguinhas, soltar cabeção de nego na sala de aula, nem mijar nos corredores do colégio. Já na vida adulta, o papel da ""tia"" continua lá. Só que agora ela usa coturno, gosta de ser chamada por sobrenomes escrotos, tem zero paciência e frequentemente castiga mais do que devia.Elenco:Antonio TabetFabio PorchatGustavo ChagasJoão Vicente de CastroRafael InfanteERROS DE GRAVAÇÃO: http://youtu.be/XtHkHujlgiAMAKING OF: http://youtu.be/uHVRwVR1dtIBAIXE NOSSOS GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
WBh57pNIdY8,
cPf2DlzCLjk,"Quinta à noite, lua cheia, filminho do Thiago Lacerda na Record... de repente começa a bater aquela vontade louca de fazer besteira e o seu namorado não tá ali pra te socorrer. Nessas horas, o jeito é usar a criatividade e fantasiar. E quando eu digo ""fantasiar"", por favor, não inventa moda.Elenco:Gregorio DuvivierLetícia LimaMAKING OF: http://www.youtube.com/watch?v=UWMFJY...BAIXE NOSSO GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
3GM7Htcc5nA,"Ei, você! Você mesmo, que tá aí lendo. Qual foi, seu leitor de sinopse de vídeo? Tem toda a cara de quem senta numa cadeira, abre o navegador, lê a sinopse e depois dá play e vê o vídeo! Falo mesmo. E vou repetir na tua cara: internauta que assiste vídeo de comédia. Isso mesmo. Não gostou vai ler um livro!!!Elenco:Fabio PorchatGregorio DuvivierLuis LobiancoMAKING OF: http://youtu.be/2hMhJoNTWbIBAIXE NOSSOS GAMES:Google Play: http://goo.gl/MWkcAiApple Store: http://goo.gl/CpS3ycWindows Phone: http://goo.gl/iE2WLR CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
C9nSNkqv_x8,"O amigo oculto deveria ser uma reunião de alegria e celebração. Mas é só distribuir o primeiro presente que o ressentimento e o recalque tomam conta. O que deveria ser uma troca agradável de presentes acaba se tornando uma competição feroz pelo melhor mimo. As regras existem para serem quebradas, sobretudo, as monetárias.Elenco: Gabriel TotoroGregorio DuvivierFlavio PardalJoão Vicente de CastroRafael PortugalThati LopesMAKING OF: https://youtu.be/Ye0zXJJLpOIAPPS E GAMES: http://bit.ly/appsportaCAMISAS E PRODUTOS: http://loja.portadosfundos.com.brEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
2YmH2T21ZBA,
NZb0XKHgtjo,"Pra Coca, quanto mais Maradona melhor. Pra Fanta, quanto mais David Brazil melhor. Pra Caninha, quanto mais Lula melhor. Pra latinha, que é bom, ninguém perguntou.Elenco:Fábio PorchatLetícia LimaNA LATA 2: http://youtu.be/s3knSS4yVrYMAKING OF: http://youtu.be/cts4gs2Xl6oBAIXE NOSSOS GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal do PORTA DOS FUNDOS. Lançamos vídeos toda segunda, quinta e sábado às 11:00h da manhã."
1HIAcA5yIoo,"Mulheres possuem um sexto sentido super apurado. Em outras palavras, é tipo um radar que fica ligado 24 horas por dia detectando possíveis cagadas dos cônjuges. Qualquer movimento estranho no Facebook ou uma palavra errada dita durante o sexo é suficiente para alertá-lo. E, quando isso acontece, o que era pra ser um sábado tranquilo vira um jogo de xadrez nada gostoso.Elenco:Fabio PorchatLeticia LimaMAKING OF: http://youtu.be/cZwXfhLPPKYBAIXE NOSSOS GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
6EYmKAs7mzc,
-nb2Tu8rAHg,"O casamento. Para os noivos, o dia mais importante de uma vida. Para a família, o início de um novo ciclo. Para os padrinhos, o dia seguinte da despedida de solteiro. Para a Gretchen, apenas mais um dia.Elenco:Fabio PorchatGabriel EstevesGustavo ChagasRodrigo MagalMAKING OF: http://youtu.be/lU1uvVA6L_sBAIXE NOSSOS GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
5d4sCg1RZHQ,"Nunca é simples construir um relacionamento saudável. Normalmente, além de paciência, é necessário muito respeito, admiração, afeto, confiança, desconfiança, raiva, paranóia e, em certos casos, um revólver calibre 38 destravado e pronto para usar.Elenco:Fabio PorchatLeticia LimaMAKING OF: http://youtu.be/O4YxwpO3vcMBAIXE NOSSOS GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
WHVjHuvPAFY,"Ciúme é uma coisa que não existe, uma coisa que ficam inventando da gente. Por exemplo, você vai assistir esse vídeo, e quando acabar, vai fechar o YouTube e não assistir mais nada. Sabe por quê? Porque você não precisa de outro vídeo. Nenhum outro vídeo vai te fazer mais feliz quanto esse vídeo. E se você clicar em algum outro vídeo recomendado pelo YouTube que não seja o nosso vídeo, eu juro que arranco a tua pele, queimo o teu guarda roupa inteiro e jogo as cinzas no leitor óptico do teu Playstation.Elenco:Fabio PorchatLeticia LimaMAKING OF: http://youtu.be/4pRPAbCwgSsBAIXE NOSSO GAMES:Google Play: http://goo.gl/zRMB77Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
8aDRbKSyO-M,"Existem umas guloseimas que são irresistíveis. Chocolates, hambúrgueres, pizzas, sorvetes... cada coisa que você simplesmente não consegue parar de comer. A tentação é incontrolável. Quem nunca acordou no meio da madrugada, suando e tremendo, furtou a avó ou agrediu sua mãe na ansiedade pela próxima saboreada?Elenco:Antonio TabetLetícia LimaRafael InfanteMAKING OF: http://youtu.be/KP4lnwRmT_4BAIXE NOSSOS GAMES:Google Play: http://goo.gl/MWkcAiApple Store: http://goo.gl/CpS3ycWindows Phone: http://goo.gl/iE2WLR CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
H8ezy9ShA6I,
UwlPVpBfk_I,"E aí que te ocorre fazer um ménage, bem tipo aquele que você sonhou: algo meio parecido com Javier Bardem, Penélope Cruz e Scarlett Johansson, numa linda mansão em Barcelona, degustando Veuve Clicquot, com uma trilha sonora perfeita pro momento. Mas aí você se lembra que sua vida não é um filme do Woody Allen, que seu dinheiro só dá pra um motel escroto na Avenida Brasil e que você ainda tem que catar duas pessoas pra convencer que vai ser incrível vocês três, se embolando num quarto com cheiro de mofo, bebendo uma garrafa de Catuaba.Elenco:Fabio PorchatJulia RabelloMAKING OF: http://youtu.be/1o06oQXOiiMBAIXE NOSSOS GAMES:Google Play: http://goo.gl/MWkcAiApple Store: http://goo.gl/CpS3ycWindows Phone: http://goo.gl/iE2WLR CAMISAS: http://loja.portadosfundos.com.brLIVRO : http://goo.gl/F8idv7APP PARA ANDROID: http://goo.gl/BGUHjrAPP PARA IPHONE - http://goo.gl/knGlPAPP PARA WINDOWS PHONE: http://goo.gl/zAxmXKEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
NAWQ5WQJrJg,"Ninguém gosta de admitir, mas todo mundo sente inveja, esse sentimento que faz você desejar que o que é do outro passe a ser só seu. Começa como admiração. Você descobre alguém parecido com você e ama muito tudo isso que ele tem, mas você não. Aí você começa a querer também, porque a grama do vizinho é sempre mais verde e o milk shake do outro é sempre mais crocante.Elenco:Rafael PortugalThati LopesGustavo ChagasMAKING OF: https://youtu.be/Qv_aufvUz2wAPPS E GAMES: http://bit.ly/appsportaCAMISAS E PRODUTOS: http://loja.portadosfundos.com.brEsse é o canal ""Porta dos Fundos"". Lançamos vídeos todas as segundas, quintas e sábados às 11h."
